ref_ceh;ano_hidr;aportano;qmedano;hmedano;qc;hc;ano_c;mes_c;dia_c;qci;hci;ano_ci;mes_ci;dia_ci;qcn;hcn;ano_cn;mes_cn;dia_cn;orig_dato_id
2401;1969;59.686;1.893;0.44;7.95;0.95;1970;1;11;9.95;1.05;1970;1;11;0;0;1970;3;8;1
2401;1970;60.493;1.918;0.45;4.74;0.76;1971;6;9;5.02;0.78;1970;11;30;0;0;1971;3;19;1
2401;1971;51.485;1.628;0.4;4.46;0.74;1971;11;9;5.3;0.8;1971;10;30;0;0;1972;3;9;1
2401;1972;40.936;1.298;0.36;3.9;0.7;1972;12;14;5.16;0.79;1972;10;4;0;0;1973;4;21;1
2401;1973;42.644;1.352;0.38;3.32;0.65;1973;11;6;9.74;1.04;1974;5;29;0;0;1974;3;30;1
2401;1974;72.341;2.294;0.38;5.09;0.69;1975;2;14;6.01;0.77;1974;10;3;0;0;1975;6;22;1
2401;1975;57.365;1.814;0.31;5.55;0.73;1975;11;13;6.35;0.8;1976;9;9;0;0;1976;5;22;1
2401;1976;91.777;2.91;0.48;5.55;0.73;1977;6;21;6.35;0.8;1976;12;9;0.07;0.02;1977;8;13;1
2401;1977;98.123;3.111;0.48;6.01;0.77;1978;3;1;8.54;0.99;1978;3;1;0.33;0.09;1978;5;30;1
2401;1978;74.767;2.371;0.41;4.855;0.67;1979;2;12;5.55;0.73;1978;10;13;0.072;0.02;1979;6;22;1
2401;1979;76.434;2.417;0.41;4.855;0.67;1979;10;18;5.775;0.75;1979;10;19;0.58;0.15;1980;6;22;1
2401;1980;44.783;1.42;0.27;3.626;0.56;1981;2;22;5.66;0.74;1981;3;16;0;0;1981;6;17;1
2401;1981;38.253;1.213;0.23;4.165;0.61;1981;10;8;5.2;0.7;1981;10;3;0;0;1982;3;14;1
2401;1982;44.362;1.407;0.27;4.28;0.62;1983;4;5;8.65;1;1983;3;28;0;0;1983;9;13;1
2401;1983;58.469;1.849;0.34;4.625;0.65;1984;5;21;6.235;0.79;1984;1;24;0.036;0.01;1984;7;12;1
2401;1984;57.279;1.816;0.33;5.2;0.7;1985;7;6;5.775;0.75;1985;2;20;0;0;1985;6;30;1
2401;1985;57.095;1.81;0.32;4.395;0.63;1986;4;6;6.925;0.85;1985;11;26;0;0;1986;5;11;1
2401;1986;53.637;1.701;0.31;4.28;0.62;1987;9;29;7.04;0.86;1986;10;10;0;0;1987;7;26;1
2401;1987;87.898;2.78;0.45;5.775;0.75;1988;1;16;8.19;0.96;1988;1;20;0;0;1988;8;21;1
2401;1990;45.51;1.443;0.27;5.545;0.73;1991;9;14;6.35;0.8;1991;9;14;0;0;1991;5;15;1
2401;1991;80.115;2.533;0.39;6.005;0.77;1992;1;23;6.58;0.82;1992;2;24;0;0;1992;5;9;1
2401;1992;35.879;1.138;0.46;2.815;0.78;1992;12;22;5.065;0.99;1992;12;14;0.032;0.02;1993;8;21;1
2401;1993;44.367;1.407;0.5;7.448;1.15;1994;7;25;7.948;1.18;1994;7;18;0.032;0.02;1994;5;8;1
2401;1994;40.162;1.274;0.46;3.368;0.84;1995;4;2;3.463;0.85;1995;4;1;0.078;0.1;1995;8;20;1
2401;1995;45.657;1.444;0.55;2.93;0.84;1996;4;14;3.2;0.88;1996;5;;0.05;0.12;1996;6;8;1
2401;1996;40.065;1.27;0.51;2.47;0.77;1997;6;5;2.79;0.82;1996;10;24;0.04;0.11;1997;5;3;1
2401;1997;51.203;1.624;0.59;2.86;0.83;1997;12;18;3.06;0.86;1998;5;7;0.07;0.14;1998;8;14;1
2401;1998;21.796;0.691;0.36;2.744;0.81;1999;8;2;3.25;0.89;1998;11;23;0;0.19;1999;2;6;1
2401;1999;46.44;1.469;0.55;2.992;0.85;2000;5;7;3.12;0.87;2000;3;23;0;0.18;2000;6;3;1
2401;2000;47.656;1.511;0.56;2.74;0.81;2000;12;8;3.11;0.87;2001;3;5;0.156;0.2;2001;8;25;1
2401;2001;19.335;0.613;0.33;2.33;0.73;2002;1;28;4.37;1.05;2002;1;31;0.15;0.2;2002;2;18;1
2401;2002;34.605;1.097;0.47;2.5;0.77;2002;11;30;2.61;0.79;2003;3;8;0.19;0.22;2002;10;2;1
2401;2003;28.655;0.906;0.42;1.96;0.67;2003;10;9;2.43;0.76;2003;11;17;0.21;0.22;2004;9;30;1
2401;2004;21.882;0.694;0.36;2.49;0.77;2005;4;8;2.54;0.78;2005;4;8;0.15;0.2;2005;6;15;1
2401;2005;15.226;0.483;0.3;1.64;0.61;2005;10;15;2.48;0.77;2005;10;31;0.15;0.17;2006;2;25;1
2401;2006;18.499;0.587;0.33;1.48;0.56;2007;4;16;2.29;0.73;2007;3;30;0.181;0.21;2007;7;9;1
2401;2007;15.661;0.495;0.31;1.5;0.56;2008;1;23;2.23;0.72;2008;2;13;0.118;0.19;2008;8;1;1
2401;2008;13.287;0.421;0.29;1.26;0.51;2008;11;12;2.34;0.74;2008;11;12;0.121;0.19;2009;4;27;1
2401;2009;15.031;0.477;0.3;1.15;0.48;2010;4;22;2.33;0.74;2010;3;5;0.17;0.21;2010;7;11;1
2401;2010;19.997;0.634;0.35;1.16;0.48;2011;1;13;2.35;0.74;2011;4;13;0.22;0.23;2010;11;2;1
2401;2011;11.551;0.365;0.34;1.29;0.56;2012;1;19;2;0.71;2011;12;2;0.158;0.29;2012;6;25;1
2401;2012;9.117;0.289;0.33;0.699;0.44;2013;6;27;1.01;0.51;2012;12;11;0.1;0.27;2013;4;28;1
2432;2009;130.552;4.14;1.6;4.94;1.73;2010;6;15;5.87;;2010;6;15;3.3;1.55;2010;3;23;1
2432;2010;132.511;4.202;1.62;4.9;1.73;2011;5;10;5.46;1.75;2011;5;10;3.5;1.58;2010;10;30;1
2432;2011;111.474;3.525;1.54;4.37;1.62;2012;6;19;5.03;1.67;2012;7;16;2.57;1.45;2011;11;6;1
2432;2012;116.781;3.703;;5.18;;2013;3;31;5.65;;2013;3;30;2.88;;2013;2;11;1
