indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
2016;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;26
2086;1928;1929;;;;;;;36;VALOR COMPLETADO;2;25
2087;1921;1922;;;;;;;342;VALOR COMPLETADO;1;31
2087;1920;1921;;;;;;;316;INCOMPLETO CON VALOR ALTO;11;6
2087;1919;1920;;;;;;;424;VALOR COMPLETADO;11;15
2087;1918;1919;;;;;;;396;VALOR COMPLETADO;4;2
2087;1917;1918;;;;;;;186;VALOR COMPLETADO;1;22
2087;1916;1917;;;;;;;204;VALOR COMPLETADO;12;
2087;1915;1916;;;;;;;304;VALOR COMPLETADO;3;18
2096;1961;1962;;2500;VALOR COMPLETADO;1;;1729;;;;
2086;1929;1930;;;;;;;80.2;VALOR COMPLETADO;12;4
2087;1924;1925;;;;;;;380;VALOR COMPLETADO;6;5
2086;1927;1928;;;;;;;457;VALOR COMPLETADO;12;25
2086;1926;1927;;;;;;;220;VALOR COMPLETADO;11;21
2086;1925;1926;;;;;;;404;VALOR COMPLETADO;12;22
2086;1924;1925;;;;;;;260;VALOR COMPLETADO;11;26
2086;1923;1924;;;;;;;520;VALOR COMPLETADO;3;25
2086;1922;1923;;;;;;;430;VALOR COMPLETADO;10;21
2086;1921;1922;;;;;;;146;VALOR COMPLETADO;;
2086;1937;1938;;;;;;;701.1;INCOMPLETO CON VALOR ALTO;11;
2092;1920;1921;;;;;;;97;VALOR COMPLETADO;11;6
2050;1934;1935;;;;;;;20.3;VALOR COMPLETADO;12;
2095;1945;1946;;;;;;;1285;VALOR COMPLETADO;5;2
2093;1950;1951;;;;;;;2625;VALOR COMPLETADO;3;20
2093;1949;1950;;;;;;;403;VALOR COMPLETADO;6;10
2093;1948;1949;;;;;;;375;VALOR COMPLETADO;1;1
2092;1930;1931;;;;;;;107;VALOR COMPLETADO;3;19
2092;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;10
2087;1922;1923;;;;;;;608;VALOR COMPLETADO;10;29
2092;1921;1922;;;;;;;205;VALOR COMPLETADO;3;15
2087;1923;1924;;;;;;;376;VALOR COMPLETADO;3;21
2091;1961;1962;;;;;;;412;VALOR COMPLETADO;1;2
2087;1930;1931;;;;;;;224;VALOR COMPLETADO;3;20
2087;1929;1930;;;;;;;96;VALOR COMPLETADO;4;25
2087;1928;1929;;;;;;;92;VALOR COMPLETADO;2;15
2087;1927;1928;;;;;;;796;VALOR COMPLETADO;12;23
2087;1926;1927;;;;;;;548;VALOR COMPLETADO;11;21
2087;1925;1926;;;;;;;548;VALOR COMPLETADO;12;22
2086;1918;1919;;;;;;;300;VALOR COMPLETADO;2;17
2092;1922;1923;;;;;;;165;VALOR COMPLETADO;4;11
2080;1915;1916;;;;;;;66;VALOR COMPLETADO;12;9
2086;1920;1921;;;;;;;134;VALOR COMPLETADO;10;6
2080;1923;1924;;;;;;;75.4;VALOR COMPLETADO;3;25
2080;1922;1923;;;;;;;63.6;VALOR COMPLETADO;10;29
2080;1921;1922;;;;;;;73;VALOR COMPLETADO;1;29
2080;1920;1921;;;;;;;14;VALOR COMPLETADO;10;8
2080;1919;1920;;;;;;;31.2;VALOR COMPLETADO;4;
2080;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;22
2080;1925;1926;;;;;;;62.7;VALOR COMPLETADO;2;1
2080;1916;1917;;;;;;;60;VALOR COMPLETADO;11;
2080;1926;1927;;;;;;;66.8;VALOR COMPLETADO;11;20
2080;1914;1915;;;;;;;54;VALOR COMPLETADO;3;26
2079;1942;1943;;;;;;;209;VALOR COMPLETADO;1;21
2079;1930;1931;;;;;;;359.75;VALOR COMPLETADO;3;13
2079;1929;1930;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;;
2079;1928;1929;;;;;;;168;VALOR COMPLETADO;10;27
2079;1927;1928;;;;;;;218;VALOR COMPLETADO;4;
2079;1926;1927;;;;;;;218;VALOR COMPLETADO;11;22
2079;1925;1926;;;;;;;366;VALOR COMPLETADO;12;23
2080;1917;1918;;;;;;;33.8;VALOR COMPLETADO;1;20
2085;1923;1924;;;;;;;520;VALOR COMPLETADO;3;25
2096;1964;1965;;;;;;;442;VALOR COMPLETADO;3;19
2086;1917;1918;;;;;;;198;VALOR COMPLETADO;1;22
2085;1987;1988;;332.957;INCOMPLETO CON VALOR ALTO;12;12;;213.14;INCOMPLETO CON VALOR ALTO;1;27
2085;1929;1930;;;;;;;500;VALOR COMPLETADO;12;25
2085;1928;1929;;;;;;;222;VALOR COMPLETADO;2;24
2085;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;23
2085;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;20
2080;1924;1925;;;;;;;71;VALOR COMPLETADO;12;3
2085;1924;1925;;;;;;;520;VALOR COMPLETADO;11;26
2086;1919;1920;;;;;;;257;VALOR COMPLETADO;11;15
2085;1922;1923;;;;;;;550;VALOR COMPLETADO;10;28
2085;1921;1922;;;;;;;385;VALOR COMPLETADO;1;30
2084;2004;2005;;67.4;INCOMPLETO CON VALOR ALTO;6;12;40;;;;
2082;1992;1993;;58.22;INCOMPLETO CON VALOR ALTO;5;28;;38.66;INCOMPLETO CON VALOR ALTO;5;28
2081;2015;2016;449.665;;;;;;223.358;INCOMPLETO CON VALOR ALTO;1;11
2080;1930;1931;;;;;;;101.5;INCOMPLETO CON VALOR ALTO;3;19
2080;1928;1929;;;;;;;31;VALOR COMPLETADO;2;24
2080;1927;1928;;;;;;;88.6;VALOR COMPLETADO;12;22
2085;1925;1926;;;;;;;540;VALOR COMPLETADO;2;1
2115;2002;2003;;71.6;INCOMPLETO CON VALOR ALTO;4;20;;53.1;INCOMPLETO CON VALOR ALTO;4;20
2128;1977;1978;;10.21;INCOMPLETO CON VALOR ALTO;3;3;6.77;;;;
2126;1997;1998;;17.49;INCOMPLETO CON VALOR ALTO;6;2;;15.5;INCOMPLETO CON VALOR ALTO;11;6
2126;1995;1996;;;;;;;27.31;INCOMPLETO CON VALOR ALTO;1;23
2126;1977;1978;;30.9;INCOMPLETO CON VALOR ALTO;3;1;28.5;;;;
2125;1990;1991;;19.28;INCOMPLETO CON VALOR ALTO;4;16;;17.19;INCOMPLETO CON VALOR ALTO;4;16
2124;1998;1999;;10.216;INCOMPLETO CON VALOR ALTO;6;28;6.234;;;;
2122;1946;1947;;256;VALOR COMPLETADO;2;;133.4;;;;
2095;1961;1962;;4862;VALOR COMPLETADO;1;3;4040;;;;
2120;1994;1995;;27.71;INCOMPLETO CON VALOR ALTO;2;13;11.204;;;;
2129;2009;2010;;11.6;INCOMPLETO CON VALOR ALTO;3;2;;8.6;INCOMPLETO CON VALOR ALTO;3;2
2113;2000;2001;;0.385;INCOMPLETO CON VALOR ALTO;9;23;;0.286;INCOMPLETO CON VALOR ALTO;9;23
2112;1990;1991;;152.4;INCOMPLETO CON VALOR ALTO;1;11;;152.4;INCOMPLETO CON VALOR ALTO;1;11
2110;1930;1931;;;;;;;141;VALOR COMPLETADO;3;11
2110;1927;1928;;;;;;;114.9;VALOR COMPLETADO;3;24
2110;1926;1927;;;;;;;67.8;VALOR COMPLETADO;11;21
2110;1925;1926;;;;;;;58;VALOR COMPLETADO;12;13
2110;1923;1924;;;;;;;77.6;VALOR COMPLETADO;3;26
2121;2002;2003;;401;INCOMPLETO CON VALOR ALTO;4;23;;374;INCOMPLETO CON VALOR ALTO;4;23
2135;2007;2008;;6.56;INCOMPLETO CON VALOR ALTO;5;11;;5.41;INCOMPLETO CON VALOR ALTO;5;11
2908;1912;1913;;;;;;;60.2;VALOR COMPLETADO;2;1
2903;1930;1931;;;;;;;976.825;INCOMPLETO CON VALOR ALTO;4;3
2818;1985;1986;;;;;;;496;INCOMPLETO CON VALOR ALTO;2;18
2162;1995;1996;;63.07;INCOMPLETO CON VALOR ALTO;4;;;41.1;INCOMPLETO CON VALOR ALTO;4;9
2145;1988;1989;;88.98;INCOMPLETO CON VALOR ALTO;4;26;;85.258;INCOMPLETO CON VALOR ALTO;3;2
2143;1988;1989;;9.52;INCOMPLETO CON VALOR ALTO;4;26;7.544;;;;
2138;2009;2010;43.4;;;;;;34.2;INCOMPLETO CON VALOR ALTO;12;30
2128;1983;1984;;6.38;INCOMPLETO CON VALOR ALTO;5;;;4.68;INCOMPLETO CON VALOR ALTO;5;23
2136;2007;2008;;1.74;INCOMPLETO CON VALOR ALTO;6;5;;1.65;INCOMPLETO CON VALOR ALTO;6;5
2129;1997;1998;;180.69;INCOMPLETO CON VALOR ALTO;11;1;;40.01;INCOMPLETO CON VALOR ALTO;11;14
2134;1997;1998;;52.98;INCOMPLETO CON VALOR ALTO;4;10;40.71;;;;
2134;1993;1994;;102;INCOMPLETO CON VALOR ALTO;1;10;;77.9;INCOMPLETO CON VALOR ALTO;1;10
2134;1935;1936;;;;;;;81.3;INCOMPLETO CON VALOR ALTO;2;
2134;1934;1935;;;;;;;48.1;INCOMPLETO CON VALOR ALTO;3;
2133;1989;1990;;218;INCOMPLETO CON VALOR ALTO;12;22;;155;INCOMPLETO CON VALOR ALTO;12;22
2132;1976;1977;;158.4;INCOMPLETO CON VALOR ALTO;1;;;152.4;INCOMPLETO CON VALOR ALTO;1;16
2131;2007;2008;;8.53;INCOMPLETO CON VALOR ALTO;6;6;;8.01;INCOMPLETO CON VALOR ALTO;6;6
2110;1920;1921;;;;;;;52.4;VALOR COMPLETADO;6;4
2138;2007;2008;;1.51;INCOMPLETO CON VALOR ALTO;9;8;;1.36;INCOMPLETO CON VALOR ALTO;9;6
2101;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;25
2110;1922;1923;;;;;;;26.5;VALOR COMPLETADO;2;21
2107;1935;1936;;;;;;;29.75;INCOMPLETO CON VALOR ALTO;2;
2106;1935;1936;;;;;;;121.41;INCOMPLETO CON VALOR ALTO;12;
2106;1934;1935;;;;;;;56.92;INCOMPLETO CON VALOR ALTO;3;
2105;1999;2000;;6.355;INCOMPLETO CON VALOR ALTO;4;11;;3.186;INCOMPLETO CON VALOR ALTO;8;13
2101;1930;1931;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;31
2101;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;25
2109;1916;1917;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;17
2101;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;25
2109;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;17
2101;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;21
2101;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;5;27
2101;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;6
2101;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;22
2101;1916;1917;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;18
2100;1930;1931;;;;;;;95.364;INCOMPLETO CON VALOR ALTO;1;3
2100;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;17
2099;1998;1999;;;;;;;16.752;INCOMPLETO CON VALOR ALTO;5;8
2101;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;5;3
2109;1932;1933;;;;;;22.9;22.9;VALOR COMPLETADO;5;
2079;1922;1923;;;;;;;169;VALOR COMPLETADO;10;30
2110;1919;1920;;;;;;;38.8;VALOR COMPLETADO;7;1
2110;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;22
2110;1917;1918;;;;;;;28.7;VALOR COMPLETADO;1;14
2110;1915;1916;;;;;;;28.8;VALOR COMPLETADO;2;29
2110;1914;1915;;;;;;;54.8;VALOR COMPLETADO;1;9
2110;1911;1912;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;7
2108;1987;1988;;72.52;INCOMPLETO CON VALOR ALTO;12;19;65.205;;;;
2109;1987;1988;;21.48;INCOMPLETO CON VALOR ALTO;1;29;17.766;;;;
2110;1921;1922;;;;;;;31.9;VALOR COMPLETADO;4;5
2109;1930;1931;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;31
2109;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;1;30
2109;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;
2109;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;26
2109;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;28
2109;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;
2109;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;30
2109;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;1;26
2109;1989;1990;;25.2;INCOMPLETO CON VALOR ALTO;12;22;;19.99;INCOMPLETO CON VALOR ALTO;12;22
2062;1924;1925;;;;;;;317;VALOR COMPLETADO;4;21
2066;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;25
2064;1995;1996;;27;INCOMPLETO CON VALOR ALTO;4;;;25.73;INCOMPLETO CON VALOR ALTO;4;4
2062;1999;2000;;379.508;INCOMPLETO CON VALOR ALTO;4;25;345.514;;;;
2062;1940;1941;;;;;;;1390;VALOR COMPLETADO;1;
2062;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;30
2062;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;5
2062;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;25
2079;1924;1925;;;;;;;118;VALOR COMPLETADO;2;26
2062;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;31
2067;1915;1916;;;;;;;148;VALOR COMPLETADO;11;17
2062;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;28
2062;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;24
2062;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;1
2062;1920;1921;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;6;9
2062;1919;1920;;;;;;;719.5;VALOR COMPLETADO;11;7
2062;1918;1919;;;;;;;1790;VALOR COMPLETADO;2;19
2062;1915;1916;;;;;;;1423;VALOR COMPLETADO;3;21
2062;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;28
2067;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;6;9
2069;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;25
2069;1919;1920;;;;;;;413;INCOMPLETO CON VALOR ALTO;11;15
2069;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;20
2068;2009;2010;;56.6;INCOMPLETO CON VALOR ALTO;2;27;;44.7;INCOMPLETO CON VALOR ALTO;11;17
2068;1958;1959;;;;;;;62;VALOR COMPLETADO;4;19
2067;1944;1945;;;;;;;118.2;VALOR COMPLETADO;3;24
2067;1930;1931;;;;;;;217.2;INCOMPLETO CON VALOR ALTO;3;19
2067;1913;1914;;;;;;;122;VALOR COMPLETADO;2;23
2067;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;25
2067;1914;1915;;;;;;;157;VALOR COMPLETADO;3;22
2067;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;28
2067;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;5
2067;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;17
2067;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;23
2067;1920;1921;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;28
2067;1919;1920;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;15
2067;1917;1918;;;;;;;175;VALOR COMPLETADO;1;20
2062;1911;1912;;;;;;;1542;INCOMPLETO CON VALOR ALTO;3;11
2067;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;23
2054;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;22
2062;1914;1915;;;;;;;1840;VALOR COMPLETADO;2;24
2054;1960;1961;;1884;INCOMPLETO CON VALOR ALTO;1;;1224;;;;
2054;1955;1956;;1237.5;VALOR COMPLETADO;3;;1211.25;;;;
2054;1942;1943;;;;;;;698;VALOR COMPLETADO;1;15
2054;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;5;1
2054;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;4
2054;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;27
2054;1984;1985;;903;INCOMPLETO CON VALOR ALTO;2;;;864;INCOMPLETO CON VALOR ALTO;2;12
2054;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;30
2056;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;24
2054;1923;1924;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;3;
2054;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;28
2054;1921;1922;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;1;
2052;1962;1963;;26.4;VALOR COMPLETADO;1;;22.65;;;;
2050;2007;2008;;11.7;INCOMPLETO CON VALOR ALTO;5;31;;8.44;INCOMPLETO CON VALOR ALTO;6;1
2050;1938;1939;;;;;;;23.5;VALOR COMPLETADO;12;
2050;1937;1938;;;;;;;15.6;VALOR COMPLETADO;12;
2908;1913;1914;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;;
2054;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;27
2056;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;30
2069;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;7
2060;1998;1999;;49.307;INCOMPLETO CON VALOR ALTO;3;13;40.793;;;;
2060;1995;1996;524.47;;;;;;466.39;INCOMPLETO CON VALOR ALTO;1;23
2056;1985;1986;;34.17;INCOMPLETO CON VALOR ALTO;2;26;34.17;;;;
2056;1966;1967;;98;INCOMPLETO CON VALOR ALTO;11;9;77.69;;;;
2056;1965;1966;;410;INCOMPLETO CON VALOR ALTO;1;21;239.5;;;;
2056;1962;1963;;99;VALOR COMPLETADO;2;;95.8;;;;
2054;1973;1974;;612;INCOMPLETO CON VALOR ALTO;1;;;612;INCOMPLETO CON VALOR ALTO;1;11
2056;1930;1931;;;;;;;242;INCOMPLETO CON VALOR ALTO;3;20
2062;1913;1914;;;;;;;1870;VALOR COMPLETADO;2;24
2056;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;16
2056;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;30
2056;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;27
2056;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;3
2056;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;19
2056;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;30
2056;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;5
2056;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;7
2056;1950;1951;;58;VALOR COMPLETADO;3;;57.61;;;;
2075;1914;1915;;;;;;;175;VALOR COMPLETADO;3;27
2074;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;10;30
2075;1922;1923;;;;;;;136;VALOR COMPLETADO;10;29
2075;1921;1922;;;;;;;94;VALOR COMPLETADO;3;18
2075;1920;1921;;;;;;;82.4;VALOR COMPLETADO;12;28
2075;1919;1920;;;;;;;87;VALOR COMPLETADO;2;18
2075;1918;1919;;;;;;;132;VALOR COMPLETADO;2;23
2075;1917;1918;;;;;;;161;VALOR COMPLETADO;1;20
2075;1924;1925;;;;;;;96;VALOR COMPLETADO;11;28
2075;1915;1916;;;;;;;169;VALOR COMPLETADO;12;26
2075;1925;1926;;;;;;;151;VALOR COMPLETADO;12;23
2075;1913;1914;;;;;;;70;VALOR COMPLETADO;2;9
2074;1940;1941;;;;;;;347;VALOR COMPLETADO;1;
2074;1930;1931;;;;;;;731.33;INCOMPLETO CON VALOR ALTO;3;20
2074;1929;1930;;;;;;;546;VALOR COMPLETADO;6;16
2074;1928;1929;;;;;;;400;VALOR COMPLETADO;10;29
2074;1925;1926;;;;;;;466;VALOR COMPLETADO;12;23
2074;1924;1925;;;;;;;450;VALOR COMPLETADO;11;30
2069;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;1
2075;1916;1917;;;;;;;79;VALOR COMPLETADO;12;24
2078;1990;1991;;51.75;INCOMPLETO CON VALOR ALTO;1;10;;28.16;INCOMPLETO CON VALOR ALTO;1;9
2050;1935;1936;;;;;;;33.5;VALOR COMPLETADO;3;
2079;1921;1922;;;;;;;170;VALOR COMPLETADO;1;7
2079;1920;1921;;;;;;;116;VALOR COMPLETADO;12;29
2079;1919;1920;;;;;;;158;VALOR COMPLETADO;3;
2079;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;17
2079;1917;1918;;;;;;;116.4;INCOMPLETO CON VALOR ALTO;1;21
2079;1916;1917;;;;;;;170;INCOMPLETO CON VALOR ALTO;;
2075;1923;1924;;;;;;;149;VALOR COMPLETADO;3;23
2079;1914;1915;;;;;;;170;INCOMPLETO CON VALOR ALTO;;
2074;1921;1922;;;;;;;370;VALOR COMPLETADO;1;30
2076;1960;1961;;;;;;;84;VALOR COMPLETADO;11;17
2076;1959;1960;;;;;;;102;VALOR COMPLETADO;12;23
2076;1958;1959;;;;;;;64;VALOR COMPLETADO;12;19
2076;1944;1945;;;;;;;53;VALOR COMPLETADO;12;11
2075;1943;1944;;;;;;;47.4;INCOMPLETO CON VALOR ALTO;11;26
2075;1929;1930;;;;;;;103;VALOR COMPLETADO;11;16
2075;1928;1929;;;;;;;68.9;INCOMPLETO CON VALOR ALTO;3;4
2075;1927;1928;;;;;;;88;VALOR COMPLETADO;12;19
2079;1915;1916;;;;;;;170;INCOMPLETO CON VALOR ALTO;;
2070;1916;1917;;;;;;;118;VALOR COMPLETADO;11;18
2074;1923;1924;;;;;;;417;VALOR COMPLETADO;3;25
2070;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;1
2070;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;29
2070;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;23
2070;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;10;29
2070;1920;1921;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;28
2070;1919;1920;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;17
2070;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;4
2070;1917;1918;;;;;;;130;VALOR COMPLETADO;1;20
2070;1930;1931;;;;;;;329;INCOMPLETO CON VALOR ALTO;3;19
2070;1915;1916;;;;;;;118;VALOR COMPLETADO;12;8
2070;1914;1915;;;;;;;105.4;VALOR COMPLETADO;3;22
2070;1913;1914;;;;;;;118.6;INCOMPLETO CON VALOR ALTO;10;28
2069;1930;1931;;;;;;;646;INCOMPLETO CON VALOR ALTO;3;20
2069;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;6
2069;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;25
2069;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;23
2079;1923;1924;;;;;;;148;VALOR COMPLETADO;3;26
2070;1918;1919;;;;;;;123;VALOR COMPLETADO;2;16
2072;1925;1926;;;;;;;271;VALOR COMPLETADO;2;6
2074;1920;1921;;;;;;;407;VALOR COMPLETADO;12;29
2074;1919;1920;;;;;;;289;VALOR COMPLETADO;3;12
2074;1918;1919;;;;;;;466;VALOR COMPLETADO;2;18
2074;1917;1918;;;;;;;446;VALOR COMPLETADO;1;22
2072;1930;1931;;;;;;;580.16;INCOMPLETO CON VALOR ALTO;3;19
2072;1929;1930;;;;;;;228;VALOR COMPLETADO;3;18
2072;1928;1929;;;;;;;265;VALOR COMPLETADO;10;28
2070;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;25
2072;1926;1927;;;;;;;260;VALOR COMPLETADO;12;6
2069;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;22
2072;1924;1925;;;;;;;223;VALOR COMPLETADO;4;19
2072;1923;1924;;;;;;;260;VALOR COMPLETADO;3;23
2072;1922;1923;;;;;;;229;VALOR COMPLETADO;4;11
2072;1921;1922;;;;;;;229;VALOR COMPLETADO;3;7
2071;1996;1997;;;;;;;209.92;INCOMPLETO CON VALOR ALTO;6;7
2071;1989;1990;;;;;;;651.4;INCOMPLETO CON VALOR ALTO;12;23
2070;1996;1997;;;;;;;124.68;INCOMPLETO CON VALOR ALTO;12;18
2070;1993;1994;;;;;;;162.7;INCOMPLETO CON VALOR ALTO;10;13
2072;1927;1928;;;;;;;217;VALOR COMPLETADO;12;23
